Strategy,QoS_Fitness,Energy_Fitness,Quality,Cost,Time,Energy_Raw,Run_Time,HV
MOEAD-333,0.316428890876572,0.490013274698003,0.889736839229447,5327.28676323835,544.368928847777,645.089925342638,14.8423932,0.63763061351098
MOEAD-333,0.320051262970453,0.465797641573623,0.883772780146551,5307.78127815423,544.368928847777,613.210664573717,14.8423932,0.63763061351098
MOEAD-333,0.332050833824993,0.44167965646367,0.858128239417086,5198.19284206085,544.175228286439,581.459954914712,14.8423932,0.63763061351098
MOEAD-333,0.343213252885356,0.423098176630495,0.865698443464335,5225.90953521927,569.474845358963,556.997912645089,14.8423932,0.63763061351098
MOEAD-333,0.365243027440812,0.408974053020686,0.834058901055349,5143.35007325072,569.474845358963,538.403865676469,14.8423932,0.63763061351098
MOEAD-333,0.374173717363733,0.393680262319497,0.818047154168716,5085.07687149818,569.474845358963,518.269981940939,14.8423932,0.63763061351098
MOEAD-333,0.40013987394596,0.387134670150444,0.784355589013948,5015.81007533682,569.474845358963,509.652877503799,14.8423932,0.63763061351098
MOEAD-333,0.431341334619244,0.347643922099801,0.876050353536943,5337.61531494526,707.721602265736,457.664319178691,14.8423932,0.63763061351098
MOEAD-333,0.431341334619244,0.347643922099801,0.876050353536943,5337.61531494526,707.721602265736,457.664319178691,14.8423932,0.63763061351098
MOEAD-333,0.443194487681424,0.332241799628455,0.855524079408494,5265.91948320887,707.721602265736,437.38781944247,14.8423932,0.63763061351098
MOEAD-333,0.46380237742023,0.312078583973821,0.821004839035856,5150.36230688852,707.721602265736,410.843462477178,14.8423932,0.63763061351098
MOEAD-333,0.482712585900252,0.306371075412572,0.794905309715469,5087.74525226825,707.721602265736,403.329673643727,14.8423932,0.63763061351098
MOEAD-333,0.512919100562789,0.30290458367109,0.758310958235544,5027.40664240059,707.721602265736,398.766126053938,14.8423932,0.63763061351098
MOEAD-333,0.512919100562789,0.30290458367109,0.758310958235544,5027.40664240059,707.721602265736,398.766126053938,14.8423932,0.63763061351098
MOEAD-333,0.512919100562789,0.30290458367109,0.758310958235544,5027.40664240059,707.721602265736,398.766126053938,14.8423932,0.63763061351098
MOEAD-333,0.512919100562789,0.30290458367109,0.758310958235544,5027.40664240059,707.721602265736,398.766126053938,14.8423932,0.63763061351098
MOEAD-333,0.512919100562789,0.30290458367109,0.758310958235544,5027.40664240059,707.721602265736,398.766126053938,14.8423932,0.63763061351098
MOEAD-333,0.512919100562789,0.30290458367109,0.758310958235544,5027.40664240059,707.721602265736,398.766126053938,14.8423932,0.63763061351098
MOEAD-333,0.512919100562789,0.30290458367109,0.758310958235544,5027.40664240059,707.721602265736,398.766126053938,14.8423932,0.63763061351098
MOEAD-333,0.512919100562789,0.30290458367109,0.758310958235544,5027.40664240059,707.721602265736,398.766126053938,14.8423932,0.63763061351098
MOEAD-333,0.512919100562789,0.30290458367109,0.758310958235544,5027.40664240059,707.721602265736,398.766126053938,14.8423932,0.63763061351098
MOEAD-333,0.512919100562789,0.30290458367109,0.758310958235544,5027.40664240059,707.721602265736,398.766126053938,14.8423932,0.63763061351098
MOEAD-333,0.512919100562789,0.30290458367109,0.758310958235544,5027.40664240059,707.721602265736,398.766126053938,14.8423932,0.63763061351098
MOEAD-333,0.512919100562789,0.30290458367109,0.758310958235544,5027.40664240059,707.721602265736,398.766126053938,14.8423932,0.63763061351098
MOEAD-333,0.512919100562789,0.30290458367109,0.758310958235544,5027.40664240059,707.721602265736,398.766126053938,14.8423932,0.63763061351098
MOEAD-333,0.512919100562789,0.30290458367109,0.758310958235544,5027.40664240059,707.721602265736,398.766126053938,14.8423932,0.63763061351098
MOEAD-333,0.512919100562789,0.30290458367109,0.758310958235544,5027.40664240059,707.721602265736,398.766126053938,14.8423932,0.63763061351098
MOEAD-333,0.512919100562789,0.30290458367109,0.758310958235544,5027.40664240059,707.721602265736,398.766126053938,14.8423932,0.63763061351098
MOEAD-333,0.512919100562789,0.30290458367109,0.758310958235544,5027.40664240059,707.721602265736,398.766126053938,14.8423932,0.63763061351098
MOEAD-333,0.512919100562789,0.30290458367109,0.758310958235544,5027.40664240059,707.721602265736,398.766126053938,14.8423932,0.63763061351098
MOEAD-333,0.512919100562789,0.30290458367109,0.758310958235544,5027.40664240059,707.721602265736,398.766126053938,14.8423932,0.63763061351098
